PickUp Time,Trip Distance
2009-01-01T00:00:00.000000Z,0.9
2009-01-01T00:00:00.000000Z,1.3
2009-01-01T00:00:02.000000Z,1
2009-01-01T00:00:04.000000Z,0.8
2009-01-01T00:00:07.000000Z,5.5
2009-01-01T00:00:09.000000Z,0.9
2009-01-01T00:00:10.000000Z,1
2009-01-01T00:00:13.000000Z,2.1
2009-01-01T00:00:15.000000Z,0.2
2009-01-01T00:00:16.000000Z,3.7
2009-01-01T00:00:17.000000Z,7.2
2009-01-01T00:00:21.000000Z,9.1
2009-01-01T00:00:23.000000Z,3.8
2009-01-01T00:00:25.000000Z,8.69
2009-01-01T00:00:25.000000Z,7.1
2009-01-01T00:00:27.000000Z,1.2
2009-01-01T00:00:27.000000Z,1.6
2009-01-01T00:00:27.000000Z,12.3
2009-01-01T00:00:28.000000Z,2.1
2009-01-01T00:00:29.000000Z,5.9
2009-01-01T00:00:29.000000Z,9.1
2009-01-01T00:00:29.000000Z,5.4
2009-01-01T00:00:29.000000Z,4.4
2009-01-01T00:00:30.000000Z,0.5
2009-01-01T00:00:30.000000Z,0.9
2009-01-01T00:00:33.000000Z,9.9
2009-01-01T00:00:36.000000Z,3
2009-01-01T00:00:37.000000Z,1.4
2009-01-01T00:00:39.000000Z,0.7
2009-01-01T00:00:43.000000Z,0.02
